,name,artist,release_date,length,acousticness,danceability,instrumentalness,loudness,liveness,tempo,energy,speechiness,valence,time_signature,popularity
123,Boyfriend,Justin Bieber,2012,171.0,0.15755304715909085,0.72,0.169678918465909,-6.0,0.13,97.0,0.55,0.05,0.33,3.9829545454545454,71
124,Part Of Me,Katy Perry,2012,216.0,0.15755304715909085,0.68,0.169678918465909,-5.0,0.07,130.0,0.92,0.04,0.77,3.9829545454545454,71
125,Domino,Jessie J,2012,232.0,0.15755304715909085,0.76,0.169678918465909,-5.0,0.04,127.0,0.55,0.03,0.78,3.9829545454545454,69
126,Where Have You Been,Rihanna,2012,243.0,0.15755304715909085,0.72,0.169678918465909,-6.0,0.22,128.0,0.85,0.09,0.44,3.9829545454545454,68
127,Wide Awake,Katy Perry,2012,221.0,0.15755304715909085,0.51,0.169678918465909,-5.0,0.39,160.0,0.68,0.04,0.5700000000000001,3.9829545454545454,68
128,The One That Got Away,Katy Perry,2012,227.0,0.15755304715909085,0.6900000000000001,0.169678918465909,-4.0,0.16,134.0,0.8,0.04,0.88,3.9829545454545454,67
129,Dance Again,Jennifer Lopez,2012,237.0,0.15755304715909085,0.79,0.169678918465909,-5.0,0.1,128.0,0.86,0.07,0.71,3.9829545454545454,66
130,Turn Up the Music,Chris Brown,2012,228.0,0.15755304715909085,0.59,0.169678918465909,-6.0,0.16,130.0,0.84,0.1,0.64,3.9829545454545454,65
131,Lights - Single Version,Ellie Goulding,2012,211.0,0.15755304715909085,0.68,0.169678918465909,-6.0,0.13,120.0,0.8,0.04,0.78,3.9829545454545454,65
132,We Are Young (feat. Janelle Monáe),fun.,2012,251.0,0.0246,0.38,0.852,-6.0,0.08,184.0,0.64,0.08,0.74,4.0,63
133,Diamonds,Rihanna,2012,225.0,0.15755304715909085,0.56,0.169678918465909,-5.0,0.11,92.0,0.71,0.05,0.39,3.9829545454545454,61
134,Don't Stop the Party (feat. TJR),Pitbull,2012,206.0,0.00137,0.72,0.882,-4.0,0.38,127.0,0.96,0.09,0.95,4.0,59
135,You Da One,Rihanna,2012,200.0,0.15755304715909085,0.7000000000000001,0.169678918465909,-5.0,0.13,127.0,0.72,0.04,0.86,3.9829545454545454,57
136,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2012,211.0,0.0247,0.65,0.0,-3.0,0.27,90.0,0.8,0.1,0.8,4.0,54
137,It Will Rain,Bruno Mars,2012,258.0,0.15755304715909085,0.58,0.169678918465909,-7.0,0.08,150.0,0.84,0.05,0.48,3.9829545454545454,38
138,Blow Me (One Last Kiss),P!nk,2012,256.0,2.660000000000001e-05,0.6,0.922,-3.0,0.25,114.0,0.92,0.04,0.75,4.0,0
139,Underneath the Tree,Kelly Clarkson,2013,230.0,0.15755304715909085,0.51,0.169678918465909,-5.0,0.21,160.0,0.81,0.05,0.6900000000000001,3.9829545454545454,88
140,Wake Me Up,Avicii,2013,247.0,0.00275,0.53,0.193,-6.0,0.16,124.0,0.78,0.05,0.64,4.0,85
141,Story of My Life,One Direction,2013,245.0,0.15755304715909085,0.6,0.169678918465909,-6.0,0.12,121.0,0.66,0.05,0.29,3.9829545454545454,81
142,Just Give Me a Reason (feat. Nate Ruess),P!nk,2013,243.0,0.982,0.78,0.8540000000000001,-7.0,0.13,95.0,0.55,0.05,0.44,4.0,81
143,Hall of Fame,The Script,2013,203.0,0.0685,0.42,0.0,-4.0,0.12,85.0,0.87,0.06,0.63,4.0,80
144,Roar,Katy Perry,2013,224.0,0.15755304715909085,0.55,0.169678918465909,-5.0,0.35000000000000003,180.0,0.77,0.04,0.46,3.9829545454545454,78
145,We Can't Stop,Miley Cyrus,2013,231.0,0.15755304715909085,0.61,0.169678918465909,-6.0,0.37,80.0,0.62,0.03,0.48,3.9829545454545454,78
146,Don't You Worry Child - Radio Edit,Swedish House Mafia,2013,213.0,0.15755304715909085,0.61,0.169678918465909,-3.0,0.12,129.0,0.84,0.05,0.44,3.9829545454545454,78
